fecha,trip_id,block_id,codLinea,ruta,cod_origen,estacion_origen,hora_salida,cod_destino,estacion_destino,hora_llegada,num_paradas,accesible
2026-09-25,4777M00002BUS,4777M00002,BUS,León                                    -Asunción-Universidad,05778,Feve-León,07:22:00,05803,La Asunción Universidad,07:40:00,4,2
2026-09-25,4778X00002BUS,4778X00002,BUS,León                                    -Asunción-Universidad,05778,Feve-León,07:22:00,05803,La Asunción Universidad,07:40:00,4,2
2026-09-25,4779J00002BUS,4779J00002,BUS,León                                    -Asunción-Universidad,05778,Feve-León,07:22:00,05803,La Asunción Universidad,07:40:00,4,2
2026-09-25,4780V00002BUS,4780V00002,BUS,León                                    -Asunción-Universidad,05778,Feve-León,07:22:00,05803,La Asunción Universidad,07:40:00,4,2
2026-09-25,4781S00002BUS,4781S00002,BUS,León                                    -Asunción-Universidad,05778,Feve-León,07:22:00,05803,La Asunción Universidad,07:40:00,4,2
2026-09-25,4782D00002BUS,4782D00002,BUS,León                                    -Asunción-Universidad,05778,Feve-León,07:22:00,05803,La Asunción Universidad,07:40:00,4,2
2026-09-25,4783L00002BUS,4783L00002,BUS,León                                    -Asunción-Universidad,05778,Feve-León,07:22:00,05803,La Asunción Universidad,07:40:00,4,2
2026-09-25,4784M00002BUS,4784M00002,BUS,León                                    -Asunción-Universidad,05778,Feve-León,07:22:00,05803,La Asunción Universidad,07:40:00,4,2
2026-09-25,4785X00002BUS,4785X00002,BUS,León                                    -Asunción-Universidad,05778,Feve-León,07:22:00,05803,La Asunción Universidad,07:40:00,4,2
2026-09-25,4786J00002BUS,4786J00002,BUS,León                                    -Asunción-Universidad,05778,Feve-León,07:22:00,05803,La Asunción Universidad,07:40:00,4,2
2026-09-25,4787V00002BUS,4787V00002,BUS,León                                    -Asunción-Universidad,05778,Feve-León,07:22:00,05803,La Asunción Universidad,07:40:00,4,2
2026-09-25,4788S00002BUS,4788S00002,BUS,León                                    -Asunción-Universidad,05778,Feve-León,07:22:00,05803,La Asunción Universidad,07:40:00,4,2
2026-09-25,4789D00002BUS,4789D00002,BUS,León                                    -Asunción-Universidad,05778,Feve-León,07:22:00,05803,La Asunción Universidad,07:40:00,4,2
2026-09-25,4790L00002BUS,4790L00002,BUS,León                                    -Asunción-Universidad,05778,Feve-León,07:22:00,05803,La Asunción Universidad,07:40:00,4,2
2026-09-25,4791M00002BUS,4791M00002,BUS,León                                    -Asunción-Universidad,05778,Feve-León,07:22:00,05803,La Asunción Universidad,07:40:00,4,2
2026-09-25,4792X00002BUS,4792X00002,BUS,León                                    -Asunción-Universidad,05778,Feve-León,07:22:00,05803,La Asunción Universidad,07:40:00,4,2
2026-09-25,4793J00002BUS,4793J00002,BUS,León                                    -Asunción-Universidad,05778,Feve-León,07:22:00,05803,La Asunción Universidad,07:40:00,4,2
2026-09-25,4794V00002BUS,4794V00002,BUS,León                                    -Asunción-Universidad,05778,Feve-León,07:22:00,05803,La Asunción Universidad,07:40:00,4,2
2026-09-25,4765J00020BUS,4765J00020,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,07:33:00,05778,Feve-León,07:46:00,4,2
2026-09-25,4766V00020BUS,4766V00020,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,07:33:00,05778,Feve-León,07:46:00,4,2
2026-09-25,4767S00020BUS,4767S00020,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,07:33:00,05778,Feve-León,07:46:00,4,2
2026-09-25,4768D00020BUS,4768D00020,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,07:33:00,05778,Feve-León,07:46:00,4,2
2026-09-25,4769L00020BUS,4769L00020,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,07:33:00,05778,Feve-León,07:46:00,4,2
2026-09-25,4770M00020BUS,4770M00020,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,07:33:00,05778,Feve-León,07:46:00,4,2
2026-09-25,4771X00020BUS,4771X00020,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,07:33:00,05778,Feve-León,07:46:00,4,2
2026-09-25,4772J00020BUS,4772J00020,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,07:33:00,05778,Feve-León,07:46:00,4,2
2026-09-25,4773V00020BUS,4773V00020,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,07:33:00,05778,Feve-León,07:46:00,4,2
2026-09-25,4774S00020BUS,4774S00020,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,07:33:00,05778,Feve-León,07:46:00,4,2
2026-09-25,4775D00020BUS,4775D00020,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,07:33:00,05778,Feve-León,07:46:00,4,2
2026-09-25,4776L00020BUS,4776L00020,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,07:33:00,05778,Feve-León,07:46:00,4,2
2026-09-25,4777M00020BUS,4777M00020,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,07:33:00,05778,Feve-León,07:46:00,4,2
2026-09-25,4778X00020BUS,4778X00020,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,07:33:00,05778,Feve-León,07:46:00,4,2
2026-09-25,4779J00020BUS,4779J00020,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,07:33:00,05778,Feve-León,07:46:00,4,2
2026-09-25,4780V00020BUS,4780V00020,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,07:33:00,05778,Feve-León,07:46:00,4,2
2026-09-25,4781S00020BUS,4781S00020,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,07:33:00,05778,Feve-León,07:46:00,4,2
2026-09-25,4782D00020BUS,4782D00020,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,07:33:00,05778,Feve-León,07:46:00,4,2
2026-09-25,4783L00020BUS,4783L00020,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,07:33:00,05778,Feve-León,07:46:00,4,2
2026-09-25,4784M00020BUS,4784M00020,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,07:33:00,05778,Feve-León,07:46:00,4,2
2026-09-25,4785X00020BUS,4785X00020,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,07:33:00,05778,Feve-León,07:46:00,4,2
2026-09-25,4786J00020BUS,4786J00020,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,07:33:00,05778,Feve-León,07:46:00,4,2
2026-09-25,4787V00020BUS,4787V00020,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,07:33:00,05778,Feve-León,07:46:00,4,2
2026-09-25,4788S00020BUS,4788S00020,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,07:33:00,05778,Feve-León,07:46:00,4,2
2026-09-25,4789D00020BUS,4789D00020,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,07:33:00,05778,Feve-León,07:46:00,4,2
2026-09-25,4790L00020BUS,4790L00020,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,07:33:00,05778,Feve-León,07:46:00,4,2
2026-09-25,4791M00020BUS,4791M00020,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,07:33:00,05778,Feve-León,07:46:00,4,2
2026-09-25,4792X00020BUS,4792X00020,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,07:33:00,05778,Feve-León,07:46:00,4,2
2026-09-25,4793J00020BUS,4793J00020,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,07:33:00,05778,Feve-León,07:46:00,4,2
2026-09-25,4794V00020BUS,4794V00020,BUS,Asunción-Universidad                    -León,05803,La Asunción Universidad,07:33:00,05778,Feve-León,07:46:00,4,2
2026-09-25,4765J00003BUS,4765J00003,BUS,León                                    -Asunción-Universidad,05778,Feve-León,08:43:00,05803,La Asunción Universidad,09:01:00,4,2
2026-09-25,4766V00003BUS,4766V00003,BUS,León                                    -Asunción-Universidad,05778,Feve-León,08:43:00,05803,La Asunción Universidad,09:01:00,4,2
2026-09-25,4769L00003BUS,4769L00003,BUS,León                                    -Asunción-Universidad,05778,Feve-León,08:43:00,05803,La Asunción Universidad,09:01:00,4,2
2026-09-25,4770M00003BUS,4770M00003,BUS,León                                    -Asunción-Universidad,05778,Feve-León,08:43:00,05803,La Asunción Universidad,09:01:00,4,2
2026-09-25,4771X00003BUS,4771X00003,BUS,León                                    -Asunción-Universidad,05778,Feve-León,08:43:00,05803,La Asunción Universidad,09:01:00,4,2
2026-09-25,4772J00003BUS,4772J00003,BUS,León                                    -Asunción-Universidad,05778,Feve-León,08:43:00,05803,La Asunción Universidad,09:01:00,4,2
2026-09-25,4773V00003BUS,4773V00003,BUS,León                                    -Asunción-Universidad,05778,Feve-León,08:43:00,05803,La Asunción Universidad,09:01:00,4,2
2026-09-25,4776L00003BUS,4776L00003,BUS,León                                    -Asunción-Universidad,05778,Feve-León,08:43:00,05803,La Asunción Universidad,09:01:00,4,2
2026-09-25,4777M00003BUS,4777M00003,BUS,León                                    -Asunción-Universidad,05778,Feve-León,08:43:00,05803,La Asunción Universidad,09:01:00,4,2
2026-09-25,4778X00003BUS,4778X00003,BUS,León                                    -Asunción-Universidad,05778,Feve-León,08:43:00,05803,La Asunción Universidad,09:01:00,4,2
2026-09-25,4779J00003BUS,4779J00003,BUS,León                                    -Asunción-Universidad,05778,Feve-León,08:43:00,05803,La Asunción Universidad,09:01:00,4,2
2026-09-25,4780V00003BUS,4780V00003,BUS,León                                    -Asunción-Universidad,05778,Feve-León,08:43:00,05803,La Asunción Universidad,09:01:00,4,2
2026-09-25,4783L00003BUS,4783L00003,BUS,León                                    -Asunción-Universidad,05778,Feve-León,08:43:00,05803,La Asunción Universidad,09:01:00,4,2
